Restaurant Name,Cuisines,Average Cost for two,Price range,Aggregate rating
Moti Mahal Delux,"North Indian, Mughlai",950,2,2.8
Pizza Hut Delivery,"Italian, Pizza, Fast Food",800,2,2.5
Riviera,"Continental, North Indian, Chinese, Mughlai, Asian",1000,3,3.2
Subway,"American, Fast Food, Salad, Healthy Food",500,2,2.8
Tamura,Japanese,1500,3,3.3
ANF Kitchen Express,"North Indian, Fast Food",450,1,3.5
Mumu Dahlin,"Continental, North Indian, Chinese, Cafe",1000,3,3.8
Startup Cafe,Cafe,500,2,3.7
Starvin' Marvin,"Italian, Mexican, Lebanese, Continental",600,2,3.8
Wok On Wheels,Chinese,550,2,3.8
Chai Mantra,"Fast Food, Beverages",200,1,0.0
Sagar Ratna,"South Indian, North Indian, Chinese",600,2,2.4
Paatra - Jaypee Siddharth,North Indian,3500,4,3.4
Eggspectation - Jaypee Siddharth,"European, Continental, North Indian",3000,4,3.5
Ano Tai - Jaypee Vasant Continental,Chinese,2500,4,3.4
Tapas - Jaypee Vasant Continental,North Indian,3000,4,3.2
The Old Baker - Jaypee Vasant Continental,Bakery,500,2,3.3
Eggspectation - Jaypee Vasant Continental,"European, Continental, North Indian",3000,4,3.6
Paatra - Jaypee Vasant Continental,"North Indian, Mughlai",2500,4,3.5
Ambarsaria by Gourmet Affaire's,Fast Food,400,1,3.1
August Moon,"Chinese, Thai",1250,3,2.8
Keventers,Beverages,400,1,3.3
Moets Curry Leaf Express,"North Indian, Mughlai",900,2,3.2
Natural Ice Cream,Ice Cream,150,1,4.5
"34, Chowringhee Lane",Fast Food,300,1,3.2
Qureshi,"North Indian, Fast Food",350,1,3.0
Shree Ram Sweet Centre,"Mithai, Street Food",150,1,2.7
Teflas,"North Indian, Chinese",300,1,3.4
The Viraj Food Zone,"North Indian, Chinese",500,2,3.2
RollsKing,Fast Food,300,1,3.5
Secular House Canteen,"North Indian, Mughlai, Chinese",600,2,3.8
Amul Ice-Cream Parlour,Ice Cream,200,1,0.0
Sunny Restaurant & Tiffin,North Indian,400,1,0.0
Kerala Cafe,"North Indian, South Indian",150,1,2.3
Veer Jee Restaurant,"North Indian, Mughlai",450,1,3.1
Oval Bar - JW Marriott New Delhi,Finger Food,4500,4,3.3
Bakey Wish,"Bakery, Desserts",300,1,3.0
Bikaner Namkeen Bhandar,"Mithai, Street Food",150,1,3.1
Chhole Bhature Corner,North Indian,150,1,3.3
Fresh n Frozen,"Raw Meats, Fast Food",200,1,3.1
Pind Punjabi,North Indian,500,2,3.0
Sanjha Chulha,"North Indian, Mughlai",700,2,3.1
Shaan e Punjab,"North Indian, Mughlai",600,2,3.1
Cafe 27,"North Indian, Chinese, Italian",1550,3,3.6
MR.D - Deliciousness Delivered,"North Indian, Italian, Chinese",700,2,3.5
Pita Pit,"Healthy Food, Salad",600,2,3.8
Al-Malik Chicken Point,"North Indian, Mughlai",400,1,0.0
Amul Sweets & Bakery,"North Indian, South Indian, Chinese, Fast Food, Bakery, Mithai",300,1,0.0
Elements - Mapple Express,"North Indian, Continental, Chinese",1200,3,0.0
Food 24,"North Indian, Mughlai",400,1,0.0
Food Corner,North Indian,100,1,0.0
Food Master's Galley,"North Indian, Chinese",150,1,0.0
Habibi Express,"Lebanese, Arabian, Moroccan",900,2,0.0
Hide Out Cafe,"Cafe, Chinese, Italian",700,2,0.0
Moriarty Delivers,Fast Food,400,1,0.0
Big Chill,"Italian, Continental, European, Cafe",1500,3,4.4
Maxims Pastry Shop,"Bakery, Desserts, Fast Food, Beverages",300,1,4.2
Uncultured Cafe & Bar,"Continental, Chinese, Italian, Finger Food",1500,3,4.3
2 Nice 2 Slice,"Bakery, Desserts",1750,3,3.2
Aggarwal Bikaneri Sweets,"Mithai, Street Food",250,1,2.9
Aggarwal Sweet Corner & Restaurant,"North Indian, South Indian, Chinese, Mithai",300,1,2.6
Aggarwal Sweets India,"Mithai, Street Food",100,1,2.8
Aggarwal's Sweets Paradise,"Mithai, North Indian, South Indian, Street Food",300,1,2.7
Aggarwal's Sweets,"Mithai, Street Food",150,1,2.9
Anna Ka Dosa,South Indian,200,1,3.4
Big Chow Xpress,"Chinese, North Indian",550,2,2.6
Bikaner Sweets & Namkeen,"Mithai, Street Food",200,1,2.9
Cafe Coffee Day,Cafe,450,1,2.9
Cake Plaza,"Bakery, Desserts, Fast Food",200,1,3.1
Crispy Tokri,Street Food,200,1,3.1
De Royale Food's,"North Indian, Chinese",550,2,3.2
Faasos,"North Indian, Fast Food",600,2,3.0
Fouji Da Vaishno Dhaba,North Indian,400,1,2.9
Fun Bytes,Fast Food,250,1,2.5
G's Patisserie,"Bakery, Desserts",600,2,2.8
Giani,"Ice Cream, Desserts",400,1,3.2
Gopals 56,"Ice Cream, Desserts",200,1,3.2
Green Chick Chop,"Raw Meats, North Indian, Fast Food",350,1,3.2
Heaven's Kitchen,"North Indian, Mughlai, Chinese",500,2,3.3
Heavens Food Corner,"North Indian, Mughlai, Chinese",500,2,2.8
Just Kababs,"Fast Food, North Indian",250,1,3.4
Keventers,Beverages,400,1,3.2
Komal Kitchen,North Indian,250,1,2.8
Kwality Sweets & Restaurant,South Indian,250,1,2.9
Mehak Food Corner,North Indian,350,1,3.2
Mr. Sub,Fast Food,400,1,3.2
Muradabadi Shahi Biryani & Chicken Corner,"North Indian, Biryani",450,1,2.6
Muradabadi,"Mughlai, Biryani",400,1,3.0
New Radhe Radhe Snacks Corner,North Indian,150,1,3.1
Nirula's Ice Cream,"Desserts, Ice Cream",250,1,3.2
Noor Restaurant,"North Indian, Mughlai, Chinese",550,2,3.4
Paul's Homemade,"Bakery, Desserts",500,2,3.1
Pinkom's Bar-Be-Que,"North Indian, Mughlai",350,1,3.2
Prince of China,"Thai, Chinese, Seafood",800,2,3.1
Punjabi Corner,North Indian,250,1,3.3
Punjabi Snacks,"Street Food, North Indian, South Indian",200,1,2.9
Quality Food Point,"North Indian, Fast Food, Mughlai",450,1,3.0
Radhe Shyam,Street Food,150,1,2.8
Raj South Indian Food,"South Indian, Chinese",250,1,3.0
Roll Club,Fast Food,250,1,3.3
Shameem Kabab Corner,"North Indian, Mughlai",700,2,3.3
Shiv Dhaba,"North Indian, Chinese",550,2,3.1
Silver Spoons,"North Indian, Street Food",350,1,2.7
Takkar Dhaba,North Indian,450,1,2.6
The Biryani Wallas,Biryani,650,2,3.2
The Tuck Shop,Fast Food,700,2,3.3
Uncle Xpress,Chinese,400,1,3.4
Vaishno Rasoi,North Indian,350,1,2.6
Vatika,"North Indian, Mughlai",550,2,2.7
Walk To Italy,Fast Food,300,1,3.1
Behrouz Biryani,Biryani,600,2,3.6
Big Dragon,"Chinese, Thai",800,2,3.6
Cafe Filter,"Fast Food, Italian, North Indian, Chinese",600,2,3.6
Chowki,North Indian,750,2,3.7
Circle Cafe and Bar,"Cafe, North Indian, Lebanese, Continental",800,2,3.5
FreshMenu,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",600,2,3.6
Giani's,"Ice Cream, Desserts",400,1,3.5
Gopal's 56,"Ice Cream, Desserts, North Indian, Street Food",200,1,3.8
Instapizza,"Pizza, Fast Food",900,2,3.8
Just Vada Pav,Street Food,150,1,3.6
Khidmat,"North Indian, Mughlai, Chinese",1300,3,3.6
Naivedyam,South Indian,500,2,3.8
New Shere Punjab Dhaba,North Indian,600,2,3.6
Sant Sweets,"Street Food, North Indian, Mithai",250,1,3.5
Tikka- Way,"North Indian, Chinese",850,2,3.5
Bake Bite,"Bakery, Fast Food",250,1,0.0
Chinese Chaat Corner,Chinese,200,1,0.0
Chocofairies,Bakery,200,1,0.0
Punjabi Rasoi,North Indian,350,1,2.4
Punjabi Xpress,"North Indian, Chinese",400,1,2.3
The Cake Factory,"Bakery, Fast Food",400,1,2.3
"34, Chowringhee Lane",Fast Food,300,1,3.3
Annapurna Restaurant,"North Indian, Chinese",250,1,2.5
BTW,"Street Food, North Indian, South Indian, Chinese",400,1,3.1
Cafe Coffee Day,Cafe,450,1,3.3
Chawla's Chic Inn,"North Indian, Chinese",650,2,3.3
Chennai Hot Cafe,South Indian,300,1,3.4
Daawat E Mezbaan,"Mughlai, North Indian",800,2,3.1
Dessert in Desert,"Cafe, Fast Food, Desserts",450,1,3.4
Domino's Pizza,"Pizza, Fast Food",700,2,3.4
Filmy Cafe & Bar,"North Indian, Fast Food, Chinese, Continental",1200,3,2.9
Firenze,Cafe,500,2,2.8
Giani,"Ice Cream, Desserts",400,1,3.4
Gullu's,"North Indian, Mughlai",550,2,3.1
Manwhar,"South Indian, North Indian, Chinese",650,2,3.2
Midnight Hunger Hub,"North Indian, Fast Food, Italian, Asian",800,2,3.3
Mini Shop,"Fast Food, Beverages",150,1,3.3
Nine 75 Lounge & Bar,"Chinese, North Indian, Italian, Continental, Fast Food",800,2,3.2
Pradhan Ji Multi Cuisine Restaurant,"North Indian, Chinese, Continental",650,2,3.3
Punjabi Chaap Corner,North Indian,400,1,2.9
Sagar Ratna,"South Indian, North Indian, Chinese",600,2,2.7
Shiva Coffee & South Indian Fast Food,South Indian,300,1,2.7
The Ice Cafe,"Cafe, Chinese, Continental, Italian, Desserts, Beverages",400,1,3.2
Tikka Junction,"North Indian, Chinese",750,2,3.4
Trending Eats,"Italian, Fast Food",800,2,3.4
Twenty Four Seven,"Fast Food, North Indian",300,1,3.3
Vikrant Cafe,"South Indian, North Indian",550,2,3.3
Vishal Restaurant,North Indian,600,2,3.1
Badri Prasad Ramesh Kumar Caterers,North Indian,200,1,3.5
Bistro,Beverages,150,1,3.9
Chaudhary Sweets Corner,"Desserts, Beverages",300,1,3.8
Chowringhee,"Fast Food, Beverages",250,1,3.6
Cones & Curries,Fast Food,250,1,3.7
Darvesh Corner,North Indian,550,2,3.6
Deez Biryani & Kebabs,"Biryani, North Indian, Mughlai",650,2,3.7
Frozen Pan,"Ice Cream, Fast Food, Beverages",250,1,3.9
Giani's,"Ice Cream, Desserts",400,1,3.8
Havmor Ice Cream,Ice Cream,200,1,3.7
Keventers,Beverages,250,1,3.5
Manohar Bikkaneri,"Mithai, Chinese, Street Food",200,1,3.8
Manohar Bikkaneri,"Bakery, Chinese",200,1,3.6
Nukkadwala,"Fast Food, Street Food",300,1,3.7
Om Di Hatti,"Street Food, North Indian",100,1,3.7
Orange Tree Cafe,"Continental, Chinese, North Indian",600,2,3.5
Rigo Noodles,"Chinese, Thai",500,2,3.5
Sethi's The Cake Shop,"Bakery, Fast Food",200,1,3.9
Shake Square,"Beverages, Fast Food",400,1,3.6
Sharma Kachoriwala,Street Food,50,1,3.7
Shawarma Wala,Fast Food,300,1,3.7
Shree Rathnam,"South Indian, North Indian, Chinese",800,2,3.5
Shri Bankey Bihari Brajwasi Rasgulle Wala,"Mithai, Street Food",150,1,3.5
Sid's Kitchen,"North Indian, Chinese",500,2,3.8
Subway,"American, Fast Food, Salad, Healthy Food",500,2,3.5
Sweet Life By Henna,"Bakery, Desserts",400,1,3.5
The Midnight Heroes,"North Indian, Biryani, Chinese, Fast Food",950,2,3.8
Urban Hub,"Chinese, North Indian, Italian, Fast Food",1900,3,3.6
Vaishno Chat Bhandar,Street Food,150,1,3.9
Ved Dhaba,North Indian,300,1,3.5
Veg Ex,North Indian,500,2,3.6
Wokin Street,Chinese,300,1,3.6
Yadav Namkeens & Bakers,Bakery,100,1,3.5
Javed Chicken Corner,Mughlai,400,1,0.0
Kamal Chicken,"Mughlai, North Indian",500,2,0.0
Singh Chinese Fast Food,Chinese,200,1,0.0
Chill'm Bar & Cafe,"North Indian, Italian, Chinese, Fast Food",600,2,4.2
Coffee & Cream,"Beverages, Fast Food",400,1,4.0
Chawla Di Hutti,North Indian,700,2,3.1
Sher 'A' Punjab Bhojnalya,North Indian,600,2,3.3
Guru Rakha,North Indian,600,2,3.1
Shudh Vaishno Hotel,North Indian,450,1,3.4
Kumar Samose Wala,Street Food,100,1,4.1
Amigo's Deli,"Mughlai, Fast Food",350,1,3.2
Ananda Food Express,"North Indian, Chinese",450,1,3.2
Green Chick Chop,"Raw Meats, North Indian, Fast Food",350,1,3.4
Khana Vaana,"North Indian, South Indian, Chinese",300,1,3.4
Momoholic,"Chinese, Fast Food, Ice Cream",200,1,3.3
Nazeer Foods,"North Indian, Mughlai, Chinese",550,2,3.3
Pind Balluchi,"North Indian, Mughlai",850,2,2.6
Rumours,"North Indian, Chinese, Italian",1000,3,3.4
Spice Grill,"North Indian, Mughlai, Chinese, Continental",1300,3,3.2
Utopia,"North Indian, Mediterranean, Continental",1500,3,3.2
Aroma Rest O Bar,"North Indian, Mughlai, Chinese",800,2,3.6
Cafe Shloka,"Cafe, Italian, Chinese, North Indian",1000,3,3.5
Chawla's Tandoori Junction,North Indian,800,2,3.5
Desi Villa,"South Indian, North Indian, Chinese",800,2,3.7
Kanwarji's,"Street Food, Mithai",400,1,3.5
Palomino,"North Indian, Mughlai, Continental, Chinese",1600,3,3.7
Raasa The Luxuriate Fine Dine,"North Indian, Mughlai, Chinese",1150,3,3.7
Shiv Tikki Wala,"Street Food, North Indian",250,1,3.8
The Barbeque Company,"North Indian, Chinese, Continental",1300,3,3.8
The Wrap Factory,Fast Food,250,1,3.6
Urban Punjab,"North Indian, Chinese",750,2,3.5
Classic,"Desserts, Fast Food, Ice Cream",250,1,4.0
Goosebumps,"Ice Cream, Desserts",300,1,4.0
Adyar Ananda Bhavan,"South Indian, North Indian, Chinese, Street Food, Fast Food",500,2,2.8
Amma Mess,"South Indian, North Indian",250,1,3.4
Amritsari Chaap Corner,North Indian,200,1,2.9
Aroma Spice,"North Indian, Chinese",800,2,3.4
Boheme Cafe Bar,"North Indian, Chinese, Continental, Italian",1100,3,3.2
Cafe Coffee Day,Cafe,450,1,2.6
Chinese King,"Chinese, North Indian, Mughlai",450,1,2.5
Chopsuey,"Chinese, North Indian",600,2,3.2
Chowringhee,"North Indian, Chinese",600,2,3.4
Crossroad Bar and Restaurant,"North Indian, Chinese, Mughlai",700,2,3.0
Domino's Pizza,"Pizza, Fast Food",700,2,3.4
Giani's,"Ice Cream, Desserts",400,1,3.4
Giani,"Ice Cream, Desserts",400,1,2.7
Gulnar Bar Be Que,"North Indian, Chinese",700,2,3.1
Kwality Bengali Sweets,"Desserts, Mithai",200,1,2.9
Little Chef,"North Indian, Mughlai, Chinese, Fast Food",500,2,2.7
M J Dosa Corner,South Indian,150,1,2.9
Moolchand's,"North Indian, South Indian, Chinese, Fast Food",450,1,3.3
New Angaar Hyderabadi,Hyderabadi,750,2,3.1
New Frontier Hotel,North Indian,350,1,3.3
Oberoi Biryani,"North Indian, Mughlai",600,2,2.9
Om Ji Om,North Indian,500,2,3.2
Om Saravana Bhavan,South Indian,400,1,2.7
Pindi Meat,North Indian,300,1,3.4
Punjab Sweet Corner,"Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai",350,1,3.3
R1 Lounge,"North Indian, Mughlai, Chinese",1100,3,2.6
R1 Take Away,"North Indian, Mughlai, Chinese",700,2,2.5
Raffles,"Fast Food, North Indian, Chinese",800,2,3.1
Raj Sweets,Mithai,150,1,2.8
Ramas Cafe,"South Indian, Chinese, North Indian",350,1,3.3
Sandoz,"North Indian, Chinese",550,2,3.4
Sandoz,"North Indian, Chinese",550,2,2.7
Shudh,"North Indian, Chinese, South Indian",600,2,3.1
Southy,South Indian,450,1,3.1
Spicy by Nature,"North Indian, Mughlai, Chinese",900,2,2.7
Spicy N Karara,"North Indian, Chinese, Fast Food",650,2,3.3
Spooky Sky,"Italian, Chinese, North Indian",650,2,3.4
Sri Krishna Udupi,South Indian,400,1,3.0
Tempting Restaurant,"Chinese, Mughlai, North Indian",750,2,2.7
The Smokin' Grill by The Flashback,Fast Food,400,1,3.3
Three Tuns,"European, Italian, Thai, Chinese, North Indian",1400,3,3.2
Wah Ji Wah,"North Indian, Chinese",500,2,2.5
Wow! Momo,"Tibetan, Fast Food",350,1,2.6
Wrap & Roll,"Fast Food, Chinese",400,1,3.4
Anjlika Pastry Shop,"Bakery, Desserts, Fast Food",400,1,3.6
Bakeology,"Bakery, Desserts",450,1,3.5
Changezi Chicken,"North Indian, Mughlai",650,2,3.7
Chargrill Resto Bar,"North Indian, European, South Indian",900,2,3.6
Chowringhee,Fast Food,200,1,3.7
Glenz Cafe N Bakers,"Cafe, Fast Food, Desserts",700,2,3.8
Happy2Bake,Bakery,300,1,3.5
Nazeer Foods,"Mughlai, North Indian",600,2,3.5
Pakode Ki Dukaan,Street Food,50,1,3.6
Peshawari Chicken Corner,North Indian,500,2,3.6
Prem Dhaba,North Indian,650,2,3.7
Ravi Raj Di Kulfi,Desserts,150,1,3.6
Shawarma King's,Fast Food,250,1,3.7
Shri Rama Restaurant,"North Indian, Chinese",600,2,3.5
Sri Balaji,"South Indian, North Indian",600,2,3.5
Standard Burfee,"Mithai, Street Food",200,1,3.8
Subway,"American, Fast Food, Salad, Healthy Food",500,2,3.6
Suruchi,"Gujarati, Rajasthani, North Indian, Fast Food",700,2,3.8
Tera Hotel,North Indian,350,1,3.5
The Diet Kitchen,"Continental, Healthy Food",700,2,3.7
The Spot,Chinese,350,1,3.5
Wrapss,"Chinese, Fast Food",350,1,3.5
Wrapss,"Chinese, Fast Food",350,1,3.5
Al Naseem Foods Shawarma,Fast Food,200,1,0.0
Ganpati Bhoj,North Indian,350,1,0.0
Pandit Dhaba,North Indian,300,1,0.0
Red Chili Potato,Chinese,150,1,0.0
Cafe Coffee Day,Cafe,450,1,2.3
Jade Garden,Finger Food,1000,3,2.4
Art of Spices,"Fast Food, North Indian, Mughlai",500,2,4.0
Sindhi Corner,Street Food,200,1,4.0
The Feast House,"Continental, North Indian, American, Italian, Mexican",1050,3,4.3
Zaffran,"North Indian, Mughlai",2000,4,4.5
McDonald's,"Fast Food, Burger",500,2,3.3
Captain Grub,"American, Fast Food",1000,3,3.1
M:Eat by Blanco,"Bakery, Desserts",300,1,3.3
Omazoni,"North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food",650,2,2.5
Prabhu Chaat Bhandar,Street Food,150,1,3.2
Sugar & Spice - Le Marche,"Bakery, Fast Food",800,2,3.3
Big Chill,"Italian, Continental, European, Cafe",1500,3,4.5
Big Chill,"Italian, Continental, European, Cafe",1500,3,4.6
Amici Cafe,"Cafe, Pizza, Italian",1200,3,3.8
Azam's Mughlai,Mughlai,600,2,3.9
Boombox Cafe,"American, Italian, North Indian, Chinese, Lebanese",2000,4,3.6
Cafe Illuminatii,"Continental, Kashmiri, Italian, North Indian, Moroccan",2500,4,3.6
Cafe Turtle,"Cafe, Italian, Lebanese",1000,3,3.6
China Fare,Chinese,1000,3,3.7
Chokola,"Cafe, Desserts, Bakery",700,2,3.8
Cravings By Arshi Dhupia,"Bakery, Desserts, Fast Food",800,2,3.6
Harry's Bar + Cafe,"Mediterranean, American, Asian",1700,3,3.7
Khan Chacha,"Mughlai, North Indian",650,2,3.7
La Bodega,Mexican,1700,3,3.6
La Vie,"Italian, European",1400,3,3.9
Latitude 28,"American, Continental, Italian",2000,4,3.8
Laziz Kabab (Subhash Restaurant),Mughlai,400,1,3.7
Mr. Choy,"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",1200,3,3.9
Public Affair,European,2100,4,3.8
Qureshi Kabab,Mughlai,450,1,3.5
Side Wok,"Burmese, Chinese, Japanese, Malaysian, Thai",2000,4,3.9
Subway,"American, Fast Food, Salad, Healthy Food",500,2,3.7
t Lounge by Dilmah,"Cafe, Tea, Desserts",800,2,3.6
The Blue Door Cafe,"Italian, French, European, Cafe",1700,3,3.7
The Coffee Bean & Tea Leaf,Cafe,700,2,3.8
Town Hall,"Japanese, Thai, Italian, Asian",2500,4,3.8
Wok  In The Clouds,"Chinese, Thai, Continental, North Indian",2000,4,3.8
Cafe Coffee Day,Cafe,450,1,0.0
Civil House,"European, Continental, Pizza",1700,3,4.2
L'Opera,"Bakery, Desserts, Fast Food",400,1,4.0
Mamagoto,"Asian, Thai, Chinese",1600,3,4.1
Out Of The Box,"North Indian, Lebanese, Mexican, Asian, Italian, American, European",1550,3,4.0
Parallel,"Continental, American",2000,4,4.0
Perch Wine & Coffee Bar,"Cafe, European",2000,4,4.2
Smoke House Deli,"Italian, European, Cafe",1650,3,4.0
Smokey's BBQ and Grill,"American, European",2100,4,4.2
SodaBottleOpenerWala,"Parsi, Iranian",1300,3,4.2
The Artful Baker,"Bakery, Fast Food",600,2,4.0
The Big Chill Cakery,"Bakery, Desserts",700,2,4.4
The Chatter House,"Finger Food, Italian, North Indian",1800,3,4.2
Amaze Dining,"North Indian, Chinese",1100,3,3.1
Amritsari Naan & Kulcha,North Indian,250,1,3.1
Bangla Sweets,"Mithai, North Indian, South Indian, Chinese, Bakery",450,1,3.3
Bj's Lounge & Cafe,"North Indian, Chinese",700,2,3.0
BTW,"Street Food, South Indian, Mithai",400,1,3.2
Cabana's Kabab & Curry's,"North Indian, Mughlai, Chinese",450,1,3.3
Cafe Coffee Day,Cafe,450,1,3.2
Chaap Point,Fast Food,150,1,3.2
Chicken Chilli Corner,"Chinese, North Indian",500,2,3.1
Chinese Dragon,"Chinese, Fast Food",550,2,2.6
Copper Restro Bar,"North Indian, Chinese, Continental",1200,3,2.8
Corner Sweets,"Mithai, Street Food",200,1,3.2
D'Casa,"North Indian, Chinese, Italian, Fast Food",1100,3,2.7
Delhi 15,"North Indian, Mughlai, Chinese",800,2,2.7
Dialogue Lounge & Caf��,"Cafe, Continental",750,2,3.0
Domino's Pizza,"Pizza, Fast Food",700,2,3.3
Flavours From Heaven,"North Indian, Chinese",650,2,3.3
Flavours Of Biryani,"Biryani, Mughlai",400,1,3.3
Flirty Momo's,Chinese,350,1,3.0
Gedi Grill,"North Indian, Mughlai, Chinese",700,2,3.4
Green Chick Chop,"Raw Meats, North Indian, Fast Food",350,1,2.7
Indian Bites,"North Indian, Chinese, Continental",550,2,2.7
Karan's Vaishno Dhaba,North Indian,300,1,3.2
Le Swaadik,"North Indian, Chinese",500,2,3.3
Let's Meet Up,"Fast Food, Bakery",350,1,3.2
Madan's Kabab Centre,"North Indian, Mughlai",600,2,3.2
Midnight Fries,"Chinese, Italian, Fast Food",550,2,2.7
Moradabadi Biryani,"Lucknowi, Biryani",300,1,3.1
Namdhari's Icecream & Bakers,"Desserts, Bakery, Fast Food",300,1,2.8
Pahariya Chicken Corner,"Raw Meats, Fast Food",400,1,3.1
Pahariya Chicken,North Indian,450,1,2.7
Pappi Machhi Wala,North Indian,450,1,3.2
Pizza Hut Delivery,"Italian, Pizza, Fast Food",800,2,2.6
Polka Cakes & Coffee,"Fast Food, Chinese, Bakery",400,1,3.3
Punjabi Joint,"Mughlai, North Indian, Chinese",600,2,2.8
Rain Tree Grill,"North Indian, Chinese, Mughlai",1200,3,3.2
Resunga Food Corner,"Chinese, Mughlai",600,2,3.0
Shri Ram Poori Wale,Street Food,50,1,2.8
Supa's Restaurant,"North Indian, Chinese",800,2,3.2
Swad Fast Food,"Chinese, South Indian",300,1,2.9
Syall Kotian Da Dhaba,North Indian,600,2,3.0
The Krib,"Italian, Continental",2500,4,3.2
Turtle Bay,"North Indian, Chinese, Fast Food",1100,3,3.4
Yakooz,"Hyderabadi, North Indian",550,2,3.1
Above & Beyond,"North Indian, Chinese, Mughlai, Continental",1200,3,3.5
Bawa Chicken,"North Indian, Mughlai, Chinese",650,2,3.5
Chatore,Street Food,250,1,3.6
Chocomore,Bakery,500,2,3.7
Clay 1 Grill,"North Indian, Mughlai",1000,3,3.6
Firangi Island,"North Indian, Chinese, Continental, Italian",1200,3,3.5
Jeet Chaat Bhandar,Street Food,150,1,3.5
Mr. Grill,"North Indian, Chinese",600,2,3.6
Tikka Junction,"North Indian, Chinese",750,2,3.5
Momos Hut & Chinese Food,"Chinese, Fast Food",500,2,2.4
Wah Ji Wah,North Indian,350,1,2.1
Yo! China,Chinese,800,2,2.4
Aapki Apni Rasoi,North Indian,200,1,2.9
Aapki Rasoi,North Indian,250,1,3.0
Advance Bakery,"Bakery, Fast Food, Street Food",200,1,2.9
Apni Rasoi,"North Indian, Chinese",300,1,2.9
Bakeyard,Bakery,300,1,3.0
Bharat Chicken Inn Foods,Mughlai,400,1,2.9
Bobby Veg Corner,Chinese,350,1,2.9
Brunch Point,North Indian,150,1,2.9
Bunty Dhaba,"North Indian, Chinese",500,2,2.5
Chandni Chowk Ka Sonu Parathe Wala,Street Food,100,1,3.1
Chankya,"North Indian, Fast Food, South Indian",500,2,3.2
Chaudhary Di Hatti,"Desserts, Street Food",150,1,3.3
Cook Du Kdu,"North Indian, Chinese, Mughlai",650,2,3.2
Daawat Restaurant,"North Indian, Chinese, South Indian",500,2,3.3
Delhi Dairy,"Fast Food, North Indian, South Indian, Chinese, Bakery",350,1,3.2
Domino's Pizza,"Pizza, Fast Food",700,2,2.9
Domino's Pizza,"Pizza, Fast Food",700,2,3.1
F 2 Pastry Shop,"Bakery, Fast Food",150,1,3.3
Food Villa,"North Indian, Chinese",700,2,2.9
Goosebumps,"Ice Cream, Desserts",300,1,3.2
Gulab,"Mithai, North Indian",500,2,3.3
Health Buzzz,Healthy Food,350,1,3.1
Jain Dhaba,North Indian,400,1,3.2
Jeeta Kulfi Walle,Desserts,100,1,3.3
Kamal Meat House,North Indian,400,1,2.6
Katyani Rasoi,North Indian,300,1,3.2
Magic Masala,"North Indian, South Indian",400,1,3.0
Masala Magic,"North Indian, South Indian, Fast Food",400,1,3.0
Mother Sweets,Mithai,100,1,3.4
Panj Taara,North Indian,600,2,3.1
Prince Fried N Grilled Chicken,North Indian,450,1,2.7
Punjabi's Veg Grill,"North Indian, Fast Food",400,1,3.1
Raja Chat Corner,Street Food,100,1,3.3
Rajshree,"North Indian, Chinese",550,2,3.3
Sachdeva Chicken Corner,North Indian,500,2,3.4
Shree Rathnam,"South Indian, North Indian, Chinese",800,2,2.9
Sialkot,North Indian,250,1,3.1
Singh-O-Singh Kebabs,"North Indian, Mughlai",500,2,3.1
Super Snacks,"South Indian, Fast Food, Street Food",500,2,3.1
Tandoori Night,"North Indian, Mughlai",600,2,3.1
The Chaupal Bar And Restaurant,"Chinese, North Indian",800,2,2.9
The Grill Point,"Chinese, Mughlai, North Indian",350,1,3.0
The Roll Hut,"Chinese, Fast Food",200,1,3.1
Triveni,"North Indian, South Indian, Chinese, Fast Food",300,1,3.2
Gokul Foods,"North Indian, Chinese",550,2,3.6
Papa Pizza,"Pizza, Fast Food",450,1,3.5
Aalishaan,"Chinese, North Indian",300,1,0.0
Amritsari Chaat Bhandar,Street Food,200,1,0.0
Bansal Foods,North Indian,600,2,0.0
Bhatia Chinese Food,"Chinese, South Indian, Fast Food",200,1,0.0
Break Fast Junction,North Indian,200,1,0.0
Breakfast Hut,North Indian,200,1,0.0
Buddy 's. Pizza,Pizza,300,1,0.0
Chai Garam,"Beverages, Fast Food",150,1,0.0
Deepu Fish & Chicken,North Indian,500,2,0.0
deliKitchen,"North Indian, Chinese, South Indian, Fast Food",350,1,0.0
Dial A Cake,"Bakery, Fast Food",400,1,0.0
Fuel Diet Cafe,Healthy Food,350,1,0.0
GO CHATZ With Breadz,"Chinese, Fast Food",250,1,0.0
Goldy Chat Bhandar,Street Food,100,1,0.0
Green Chick Chop,"Raw Meats, Fast Food",350,1,0.0
Hungry Heights,Fast Food,300,1,0.0
Kebabish,North Indian,550,2,0.0
Khalsa Dhaba,North Indian,350,1,0.0
Khanna's Hot Pizza,Pizza,350,1,0.0
Lets Eat Veg,North Indian,450,1,0.0
Mitra Da Dhabha,"Mughlai, North Indian",350,1,0.0
Murliwala Bakers,"Bakery, Fast Food",250,1,0.0
Panjabi Chic-Shoppe,"Raw Meats, Street Food",300,1,0.0
Raj Petha Bhandar,Mithai,200,1,0.0
Ramlal Sweets,Mithai,100,1,0.0
